codigo	tipo	equipo	player	x	y	min	sec	period	partido	nombre_equipo	nombre_jugador	outcome	fase	tipo	end_x	end_y	extra
1	pase_fallado	184	165682	84.3	94.8	4	38	1	2372222	Rayo Vallecano	Álvaro García	0	0	0	88.1	92.9	0
74	bloqueo_pase	1564	234548	16.5	7.3	4	38	1	2372222	Almería	Álex Pozo	1	0	0	0	0	0
5	balon_fuera	1564	234548	15.6	0	4	40	1	2372222	Almería	Álex Pozo	0	0	347	0	0	0
5	balon_fuera	184	165682	84.4	100	4	40	1	2372222	Rayo Vallecano	Álvaro García	1	0	347	0	0	0
1	pase	184	178424	85.6	100	4	53	1	2372222	Rayo Vallecano	Alfonso Espino	1	0	0	78.6	87.1	0
1	pase_fallado	184	165682	78.5	87.1	4	54	1	2372222	Rayo Vallecano	Álvaro García	0	0	0	94.3	93.8	0
12	despeje	1564	234548	5.8	10.3	4	56	1	2372222	Almería	Álex Pozo	1	0	0	6.4	8.6	0
61	toco_balon	184	178424	93.2	95.8	4	56	1	2372222	Rayo Vallecano	Alfonso Espino	1	0	0	0	0	0
5	balon_fuera	1564	234548	4.8	0	4	57	1	2372222	Almería	Álex Pozo	1	0	347	0	0	0
5	balon_fuera	184	165682	95.2	100	4	57	1	2372222	Rayo Vallecano	Álvaro García	0	0	347	0	0	0
1	pase	1564	234548	6.1	0	5	4	1	2372222	Almería	Álex Pozo	1	0	0	5.1	12.9	0
1	pase	1564	233681	5.1	12.9	5	6	1	2372222	Almería	Lucas Robertone	1	0	0	3.8	6.4	0
1	pase	1564	234548	3.8	6.4	5	7	1	2372222	Almería	Álex Pozo	1	0	0	3.2	11.6	0
61	toco_balon	1564	233681	2.9	12.2	5	8	1	2372222	Almería	Lucas Robertone	0	0	0	0	0	0
6	corner	1564	233681	5	12.8	5	9	1	2372222	Almería	Lucas Robertone	0	0	0	0	0	0
6	corner	184	178424	95	87.2	5	9	1	2372222	Rayo Vallecano	Alfonso Espino	1	0	0	0	0	0
1	pase_fallado	184	183462	99.5	99.5	5	37	1	2372222	Rayo Vallecano	Unai López	0	0	0	92	73.2	0
12	despeje	1564	234548	4.4	30.7	5	38	1	2372222	Almería	Álex Pozo	1	0	0	12.7	18	0
1	pase	184	165682	87.7	83.7	5	40	1	2372222	Rayo Vallecano	Álvaro García	1	0	0	89.9	93.1	0
1	pase_fallado	184	183462	88.1	92.8	5	43	1	2372222	Rayo Vallecano	Unai López	0	0	0	96.9	51.6	0
52	portero_agarrra_pelota	1564	76611	2.3	46.9	5	44	1	2372222	Almería	Diego Mariño	0	0	0	0	0	0
1	pase	1564	76611	14.6	47.6	5	48	1	2372222	Almería	Diego Mariño	1	0	0	24.5	77.2	0
1	pase	1564	220871	44.1	69.6	5	56	1	2372222	Almería	Sergio Akieme	1	0	0	41	78.8	0
1	pase	1564	463170	41.9	82.1	5	58	1	2372222	Almería	Iddrisu Baba	1	0	0	59.2	95.9	0
1	pase	1564	441293	47.2	83.9	6	2	1	2372222	Almería	Lázaro	1	0	0	37.3	61.2	0
1	pase	1564	210977	38.4	52.8	6	5	1	2372222	Almería	Srdjan Babic	1	0	0	38.1	36.1	0
1	pase	1564	469402	38.1	36.1	6	9	1	2372222	Almería	Edgar González	1	0	0	54.9	7.4	0
1	pase	1564	234548	55.3	7.4	6	11	1	2372222	Almería	Álex Pozo	1	0	0	65.7	31.8	0
1	pase	1564	433952	65.8	31.8	6	12	1	2372222	Almería	Largie Ramazani	1	0	0	87.5	39.5	0
61	toco_balon	1564	132161	87.5	39.5	6	15	1	2372222	Almería	Adri Embarba	0	0	0	0	0	0
52	portero_agarrra_pelota	184	94878	9.4	48.7	6	17	1	2372222	Rayo Vallecano	Stole Dimitrievski	0	0	0	0	0	0
1	pase	184	94878	13.4	44.7	6	21	1	2372222	Rayo Vallecano	Stole Dimitrievski	1	0	0	29.3	81.5	0
3	regate_fallado	184	40721	43.4	92.5	6	24	1	2372222	Rayo Vallecano	Óscar Trejo	0	0	0	0	0	0
7	entrada	1564	233681	56.6	7.5	6	25	1	2372222	Almería	Lucas Robertone	1	0	0	0	0	0
49	recuperacion_balon	1564	234548	44.4	8.2	6	26	1	2372222	Almería	Álex Pozo	1	0	0	0	0	0
3	regate_fallado	1564	234548	45.1	8.5	6	27	1	2372222	Almería	Álex Pozo	0	0	0	0	0	0
7	entrada	184	40721	54.9	91.5	6	27	1	2372222	Rayo Vallecano	Óscar Trejo	0	0	0	0	0	0
61	toco_balon	1564	234548	44.5	6.1	6	27	1	2372222	Almería	Álex Pozo	1	0	0	0	0	0
49	recuperacion_balon	184	40721	56.3	92	6	28	1	2372222	Rayo Vallecano	Óscar Trejo	1	0	0	0	0	0
1	pase	184	40721	56.3	92	6	28	1	2372222	Rayo Vallecano	Óscar Trejo	1	0	0	69.8	95.5	0
3	regate_fallado	184	165682	79.6	81.4	6	32	1	2372222	Rayo Vallecano	Álvaro García	0	0	0	0	0	0
7	entrada	1564	469402	20.4	18.6	6	32	1	2372222	Almería	Edgar González	0	0	0	0	0	0
61	toco_balon	184	165682	76.5	85.9	6	32	1	2372222	Rayo Vallecano	Álvaro García	1	0	0	0	0	0
1	pase	184	40721	74.7	87.1	6	35	1	2372222	Rayo Vallecano	Óscar Trejo	1	0	0	69.9	68.8	0
1	pase	184	183462	70.2	71.6	6	37	1	2372222	Rayo Vallecano	Unai López	1	0	0	76.3	73.2	0
61	toco_balon	184	40721	76.3	73.4	6	37	1	2372222	Rayo Vallecano	Óscar Trejo	0	0	0	0	0	0
12	despeje	1564	234548	18	28.9	6	38	1	2372222	Almería	Álex Pozo	1	0	0	25.2	39.4	0
49	recuperacion_balon	1564	463170	25.2	39.4	6	38	1	2372222	Almería	Iddrisu Baba	1	0	0	0	0	0
1	pase	1564	463170	25.3	40	6	41	1	2372222	Almería	Iddrisu Baba	1	0	0	36	53.4	0
1	pase	1564	132161	63.6	60	6	47	1	2372222	Almería	Adri Embarba	1	0	0	76.5	78.5	0
4	falta_cometida	1564	433952	77.6	77.6	6	50	1	2372222	Almería	Largie Ramazani	0	0	152	0	0	0
1	pase	184	89399	22.9	29.7	7	25	1	2372222	Rayo Vallecano	Aridane Hernández	1	0	0	22.3	68.3	0
1	pase	184	77359	18.1	76.7	7	26	1	2372222	Rayo Vallecano	Florian Lejeune	1	0	0	17.8	49.3	0
1	pase	184	89399	18.4	52.8	7	30	1	2372222	Rayo Vallecano	Aridane Hernández	1	0	0	24.5	68.3	0
1	pase	184	77359	30.3	76.5	7	34	1	2372222	Rayo Vallecano	Florian Lejeune	1	0	0	90.5	83.5	0
83	sin_identificar	1564	234548	5.7	23.3	7	39	1	2372222	Almería	Álex Pozo	0	0	0	0	0	0
1	pase	184	165682	89.2	85	7	41	1	2372222	Rayo Vallecano	Álvaro García	1	0	0	86.6	74.1	0
1	pase_fallado	184	40721	89.4	74.1	7	43	1	2372222	Rayo Vallecano	Óscar Trejo	0	0	0	88.9	55.6	0
